# Generated from Carapace 1.7.3; do not edit by hand.
apt	autoclean,autopurge,autoremove,build-dep,changelog,clean,depends,dist-upgrade,download,edit-sources,full-upgrade,help,info,install,list,policy,purge,rdepends,reinstall,remove,satisfy,search,show,showsrc,source,update,upgrade
apt-get	autoclean,autoremove,build-dep,changelog,check,clean,dist-upgrade,download,dselect-upgrade,indextargets,install,purge,reinstall,remove,satisfy,source,update,upgrade
docker	attach,build,builder,checkpoint,commit,config,container,context,cp,create,diff,events,exec,export,help,history,image,images,import,info,inspect,kill,load,login,logout,logs,manifest,network,node,pause,plugin,port,ps,pull,push,rename,restart,rm,rmi,run,save,search,secret,service,stack,start,stats,stop,swarm,system,tag,top,trust,unpause,update,version,volume,wait
git	add,am,annotate,apply,archimport,archive,backfill,bisect,blame,branch,bugreport,bundle,cat-file,check-attr,check-ignore,check-mailmap,check-ref-format,checkout,checkout-index,cherry,cherry-pick,citool,clean,clone,column,commit,commit-graph,commit-tree,config,count-objects,credential,credential-cache,credential-store,cvsexportcommit,cvsimport,cvsserver,daemon,describe,diagnose,diff,diff-files,diff-index,diff-pairs,diff-tree,difftool,fast-export,fast-import,fetch,fetch-pack,filter-branch,fmt-merge-msg,for-each-ref,for-each-repo,format-patch,format-rev,fsck,gc,get-tar-commit-id,grep,gui,hash-object,help,history,hook,http-backend,http-fetch,http-push,imap-send,index-pack,init,instaweb,interpret-trailers,last-modified,log,ls-files,ls-remote,ls-tree,mailinfo,mailsplit,maintenance,merge,merge-base,merge-file,merge-index,merge-one-file,merge-tree,mergetool,mktag,mktree,multi-pack-index,mv,name-rev,notes,p4,pack-objects,pack-redundant,pack-refs,patch-id,prune,prune-packed,pull,push,quiltimport,range-diff,read-tree,rebase,receive-pack,reflog,refs,remote,repack,replace,replay,repo,request-pull,rerere,reset,restore,rev-list,rev-parse,revert,rm,scalar,send-email,send-pack,shell,shortlog,show,show-branch,show-index,show-ref,sparse-checkout,stage,stash,status,stripspace,submodule,subtree,svn,switch,symbolic-ref,tag,unpack-file,unpack-objects,update-index,update-ref,update-server-info,upload-archive,upload-pack,url-parse,var,verify-commit,verify-pack,verify-tag,version,whatchanged,worktree,write-tree
systemctl	add-requires,add-wants,bind,cancel,cat,clean,daemon-reexec,daemon-reload,default,disable,edit,emergency,enable,enqueue-marked,exit,freeze,get-default,halt,help,hibernate,hybrid-sleep,import-environment,is-active,is-enabled,is-failed,is-system-running,isolate,kexec,kill,link,list-automounts,list-dependencies,list-jobs,list-machines,list-paths,list-sockets,list-timers,list-unit-files,list-units,log-level,log-target,mask,mount-image,poweroff,preset,preset-all,reboot,reenable,reload,reload-or-restart,rescue,reset-failed,restart,revert,service-log-level,service-log-target,service-watchdogs,set-default,set-environment,set-property,show,show-environment,sleep,soft-reboot,start,status,stop,suspend,suspend-then-hibernate,switch-root,thaw,try-reload-or-restart,try-restart,unmask,unset-environment,whoami
kubectl	alpha,annotate,api-resources,api-versions,apply,attach,auth,autoscale,certificate,cluster-info,completion,config,cordon,cp,create,debug,delete,describe,diff,drain,edit,events,exec,explain,expose,get,help,kuberc,kustomize,label,logs,options,patch,plugin,port-forward,proxy,replace,rollout,run,scale,set,taint,top,uncordon,version,wait
helm	completion,create,dependency,diff,env,get,help,history,install,lint,list,package,plugin,pull,repo,rollback,search,show,status,template,test,uninstall,upgrade,verify,version
cargo	add,bench,build,check,clean,config,doc,fetch,fix,generate-lockfile,help,info,init,install,locate-project,login,logout,metadata,new,owner,package,pkgid,publish,remove,report,run,rustc,rustdoc,search,test,tree,uninstall,update,vendor,version,yank
rustup	check,completions,component,default,doc,docs,help,man,override,run,self,set,show,target,toolchain,up,update,upgrade,which
npm	access,adduser,audit,bin,bugs,cache,ci,completion,config,dedupe,deprecate,diff,dist-tag,docs,doctor,edit,exec,explain,explore,find-dupes,fund,get,help,hook,init,install,install-ci-test,install-test,link,ll,login,org,outdated,owner,pack,ping,prefix,profile,prune,publish,rebuild,repo,restart,root,run,run-script,search,set,set-script,shrinkwrap,star,stars,start,stop,team,test,token,uninstall,unpublish,unstar,update,version,view,whoami
pnpm	add,audit,cat-file,cat-index,dislink,exec,find-hash,help,i,import,init,install,install-test,it,licenses,link,ln,outdated,pack,prune,publish,rb,rebuild,remove,rm,root,run,run-script,start,store,t,test,un,uninstall,unlink,up,update,upgrade
yarn	add,bin,cache,config,constraints,dedupe,dlx,exec,explain,info,init,install,link,node,npm,pack,patch,patch-commit,plugin,rebuild,remove,run,search,set,stage,unlink,unplug,up,upgrade-interactive,version,why,workspace,workspaces
go	bug,build,clean,doc,env,fix,fmt,generate,get,help,install,list,mod,run,telemetry,test,tool,version,vet,work
pip	cache,check,completion,config,debug,download,freeze,hash,help,install,list,search,show,uninstall,wheel
gh	agent,agent-task,agent-tasks,agents,alias,api,at,attestation,auth,browse,cache,co,codespace,completion,config,copilot,cs,discussion,ext,extension,extensions,gist,gpg-key,help,issue,label,licenses,org,pr,preview,project,release,repo,rs,ruleset,run,search,secret,skill,skills,ssh-key,status,variable,workflow
flatpak	build,build-commit-from,build-export,build-finish,build-import-bundle,build-init,build-sign,build-update-repo,config,create-usb,document-export,document-info,document-unexport,documents,enter,history,info,install,kill,list,make-current,mask,override,permission-remove,permission-reset,permission-set,permission-show,permissions,pin,ps,remote-add,remote-delete,remote-info,remote-ls,remote-modify,remotes,repair,repo,run,search,uninstall,update
